uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off,cluster
JKUAT,1249489,Bachelor of Science (Water and Environment Management),,32.341,34.164,20
JKUAT,1249493,Bachelor of Science (Strategic Management),,34.58,32.818,3
JKUAT,1249505,Bachelor of Science (Nutraceutical Science and Technology),,30.428,,20
JKUAT,1249512,Bachelor of Science (Renewable Energy and Environmental Physics),,28.193,,9
JKUAT,1249519,Bachelor of Science in Fisheries and Aquaculture,,29.503,29.012,20
JKUAT,1249533,Bachelor of Science (Operations Research),,33.192,,7
JKUAT,1249536,Bachelor of Science (Business Computing),,37.447,36.51,9
JKUAT,1249543,Bachelor of Science (Health Records and Informatics),,39.047,38.164,3
JKUAT,1249560,Bachelor of Science Clinical Medicine,,43.747,44.705,18
JKUAT,1249561,Bachelor of Physiotherapy,,42.321,42.168,18
JKUAT,1249562,Bachelor of Radiography,,43.287,43.744,18
JKUAT,1249563,Bachelor of Science (Applied Bioengineering),,38.976,38.404,18
JKUAT,1249564,Bachelor of Architectural Technology,,44.094,44.336,10
JKUAT,1249580,Bachelor of Science (Medical Biochemistry),,34.385,42.48,18
JKUAT,1249615,Bachelor of Science (Agricultural Economics and Rural Development),,36.633,37.374,12
JKUAT,1249619,Bachelor of Science (Geomatic Engineering and Geospatial Information Systems),,41.26,43.7,9
JKUAT,1249638,Bachelor of Science (Biostatistics),,35.484,34.347,9
JKUAT,1249639,Bachelor of Science (Food Service and Hospitality Management),,32.871,33.877,20
JKUAT,1249719,Bachelor of Science (Geospatial Information Science),,39.77,42.605,9
JKUAT,1249728,Bachelor of Science Industrial Biotechnology,,39.578,39.976,18
JKUAT,1249787,Bachelor of Science Agribusiness Management and Enterprise Development,,39.623,39.622,12
MSU,1229101,Bachelor of Arts (With IT),,23,31.327,3
MSU,1229107,"Bachelor of Science (Actuarial Science, With IT)",,41.74,42.53,7
MSU,1229108,"Bachelor of Science (Industrial Chemistry, With IT)",,38.8,40.986,9
MSU,1229109,"Bachelor of Science (Mathematical Sciences, With IT)",,35.82,37.836,11
MSU,1229115,Bachelor of Science (Computer Science),,40.245,41.853,11
MSU,1229120,"Bachelor of Science (Basic Science, With IT)",,26.72,30.808,13
MSU,1229131,Bachelor of Medicine and Bachelor of Surgery (With IT),,44.377,45.151,18
MSU,1229132,"Bachelor of Science (Nursing, With IT)",,44.176,44.007,18
MSU,1229135,"Bachelor of Education (Arts, With IT)",,35.343,29.88,3
MSU,1229136,"Bachelor of Arts (Criminology, With IT)",,38.092,39.594,3
MSU,1229137,"Bachelor of Education (Science, With IT)",,35.285,38.84,13
MSU,1229153,Bachelor of Business Administration (With IT),,32.308,37.913,7
MSU,1229156,"Bachelor of Education (Special Needs Education, With IT)",,36.144,35.736,5
MSU,1229158,Bachelor of Science (Information and Communication Technology),,32.984,,9
MSU,1229161,"Bachelor of Arts (Music, With IT)",,23,25,24
MSU,1229162,"Bachelor of Education (Music, With IT)",,23,25,24
MSU,1229164,"Bachelor of Science (Applied Statistics, With IT)",,40.063,39.649,7
MSU,1229166,"Bachelor of Education (French, With IT)",,23,29.81,22
MSU,1229179,"Bachelor of Arts (Drama and Theatre Studies, With IT)",,33.22,36.676,3
MSU,1229180,"Bachelor of Education (Early Childhood Education, With IT)",,29.899,30.652,3
MSU,1229185,"Bachelor of Science (Horticulture, With IT)",,29.664,29.145,20
MSU,1229187,"Bachelor of Science (Agribusiness Management, With IT)",,34.888,24.259,12
MSU,1229190,"Bachelor of Science (Nutrition and Dietetics, With IT)",,38.033,38.748,20
MSU,1229194,"Bachelor of Science (Medical Laboratory Sciences, With IT)",,41.607,42.906,18
MSU,1229208,Bachelor of Science (Computer Technology),,38.132,37.465,11
MSU,1229210,"Bachelor of Science (Earth Science, With IT)",,23,25,8
MSU,1229213,"Bachelor of Science (Environmental Science, With IT)",,35.532,35.862,20
MSU,1229216,"Bachelor of Science (Agricultural Economics, With IT)",,34.542,33.597,12
MSU,1229217,"Bachelor of Arts (Textiles, Apparel Design and Fashion Merchandising, With IT)",,30.312,28.232,15
MSU,1229223,"Bachelor of Science (Eco-tourism, Hotel and Institution Management, With IT)",,34.708,35.137,2
MSU,1229232,Bachelor of Science (Information Technology),,37.525,39.858,9
MSU,1229238,Bachelor of Psychology (With IT),,30.027,25,3
MSU,1229282,"Bachelor of Arts (French, With IT)",,23,25,22
MSU,1229293,"Bachelor of Science (Animal Science, With IT)",,34.021,32.734,20
MSU,1229295,"Bachelor of Arts (International Relations and Diplomacy ,With IT)",,38.347,35.234,3
MSU,1229302,"Bachelor of Arts (Gender Studies, With IT)",,29.453,25,3
MSU,1229303,"Bachelor of Arts (Development Studies, With IT)",,23,25,3
MSU,1229309,Bachelor of Science (Mathematics & Computer Science),,39.886,39.827,11
MSU,1229317,"Bachelor of Arts (Interior Design, With IT)",,34.619,33.018,15
MSU,1229324,"Bachelor of Arts (Kiswahili, With IT)",,34.006,33.989,6
MSU,1229385,"Bachelor of Arts (Communication & Media Technology, With IT)",,34.248,29.522,3
MSU,1229417,"Bachelor of Science (Agriculture Education and Extension, With IT)",,36.835,35.821,20
MSU,1229443,"Bachelor of Arts (Religion, With IT)",,23,25,3
MSU,1229444,"Bachelor of Arts (Theology, With IT)",,23,25,3
MSU,1229479,"Bachelor of Science (Soil Science, With IT)",,23,25,20
